orientation,case_id,frequency_hz,frequency_over_f0,sigma_re_S_m,sigma_im_S_m,phase_deg,n_components,max_component_voltage_span_V,electrode_mismatch
transverse,transition_chain,17.899880321778202,0.5623413251903491,0.1996103382011985,0.0017141294186356027,0.492008420297044,3,3.851765438253673e-05,0.00013498439695128032
transverse,transition_chain,31.830988618379063,1.0,0.200651455456911,0.0020231997345428483,0.5777026502013333,3,5.102036872273034e-05,0.00016255360980921404
transverse,transition_chain,56.60439166124679,1.7782794100389228,0.2017109524731842,0.0017455765641584981,0.49581677232079086,3,6.246563633335384e-05,0.00018622906315417953
transverse,transition_chain,100.65842420897407,3.1622776601683795,0.20233047188029724,0.0011828209136346968,0.3349464547987746,3,6.602713758480406e-05,0.0001987303837622587
transverse,transition_chain,178.998803217782,5.623413251903491,0.20258362443271935,0.0007124301675121879,0.20149246335578627,3,6.632182366648614e-05,0.00020364251611685983
transverse,transition_chain,318.30988618379064,10.0,0.20267192854174232,0.00041100263018528107,0.11619114678009261,3,6.697233013915935e-05,0.00020536081918697772
transverse,strong_chain,3.1830988618379066,0.1,0.1987005244013579,0.0003944659870078843,0.11374507739063035,3,1.6531130575745155e-06,0.00010467290017260854
transverse,strong_chain,5.660439166124679,0.1778279410038923,0.19878200012792147,0.00068719082213165,0.19807113801016216,3,2.8436225911258065e-06,0.00010775401928172005
transverse,strong_chain,10.065842420897406,0.31622776601683794,0.19901910895450414,0.0011481244220708684,0.3305308437114151,3,4.670867886581625e-06,0.00011623701928424874
transverse,strong_chain,17.899880321778202,0.5623413251903491,0.19961033798700886,0.001714128394183965,0.49200812678995587,3,7.330065983634896e-06,0.00013498192744152728
transverse,strong_chain,31.830988618379063,1.0,0.20065145454023556,0.0020231984267535504,0.5777022794407023,3,1.1185636112053204e-05,0.00016254981981875306
transverse,strong_chain,56.60439166124679,1.7782794100389228,0.20171095080259843,0.001745575507142714,0.4958164762052609,3,1.468319682285762e-05,0.00018622457991827876
transverse,strong_chain,100.65842420897407,3.1622776601683795,0.2023304699197832,0.0011828203036450802,0.3349462853137537,3,1.5987661380292632e-05,0.00019872583921810372
transverse,strong_chain,178.998803217782,5.623413251903491,0.2025836224237327,0.0007124297925569121,0.20149235930839815,3,1.6238852779746842e-05,0.0002036379945421536
transverse,strong_chain,318.30988618379064,10.0,0.20267192648919768,0.0004110023453576686,0.116191067435773,3,1.6460903973370437e-05,0.00020535617674221756
transverse,bottleneck_chain,3.1830988618379066,0.1,0.19870052431873608,0.0003944662907304373,0.11374516501671843,3,3.384628628915886e-05,0.00010467345899849797
transverse,bottleneck_chain,5.660439166124679,0.1778279410038923,0.19878200013955966,0.0006871913984251496,0.19807130410410165,3,3.633100563569832e-05,0.00010775495373341619
transverse,bottleneck_chain,10.065842420897406,0.31622776601683794,0.19901910923523713,0.0011481253493320956,0.3305311101863184,3,3.837093123015827e-05,0.00011623884665576975
transverse,bottleneck_chain,17.899880321778202,0.5623413251903491,0.19961033881087856,0.0017141296444056833,0.4920084835941959,3,4.251643703690469e-05,0.00013498558288543708
transverse,bottleneck_chain,31.830988618379063,1.0,0.20065145617141167,0.0020231996625533722,0.577702627589911,3,4.956107372434161e-05,0.0001625557300274615
transverse,bottleneck_chain,56.60439166124679,1.7782794100389228,0.2017109529553308,0.0017455762297597455,0.49581667615721314,3,5.3911273110592484e-05,0.00018623166275934794
transverse,bottleneck_chain,100.65842420897407,3.1622776601683795,0.20233047208033467,0.0011828206272415703,0.33494637336982924,3,5.3240549506466404e-05,0.00019873304719066482
transverse,bottleneck_chain,178.998803217782,5.623413251903491,0.20258362451096276,0.0007124300427550649,0.2014924279939274,3,5.2155703782494066e-05,0.00020364519803827544
transverse,bottleneck_chain,318.30988618379064,10.0,0.20267192861318678,0.0004110026603088697,0.11619115525510054,3,5.317864710683853e-05,0.00020536361121508104
transverse,ideal_pair_plus_isolated,3.1830988618379066,0.1,0.19870052446059455,0.0003944663579291774,0.11374518431235622,2,3.9555509612341384e-05,0.00010467308862459556
transverse,ideal_pair_plus_isolated,5.660439166124679,0.1778279410038923,0.19878200030177,0.0006871914454966527,0.19807131750992948,2,3.992539346140587e-05,0.00010775458978827518
transverse,ideal_pair_plus_isolated,10.065842420897406,0.31622776601683794,0.19901910941104498,0.0011481253835865365,0.3305311197555549,2,4.121548688033599e-05,0.00011623861297115445
transverse,ideal_pair_plus_isolated,17.899880321778202,0.5623413251903491,0.199610339008609,0.0017141296655320763,0.4920084891704784,2,4.516019507744405e-05,0.00013498563357751492
transverse,ideal_pair_plus_isolated,31.830988618379063,1.0,0.20065145639040532,0.0020231996343650725,0.577702618911125,2,5.1637222138045894e-05,0.00016255614098611946
transverse,ideal_pair_plus_isolated,56.60439166124679,1.7782794100389228,0.20171095312592768,0.0017455761396895926,0.49581665015548315,2,5.4107388228773574e-05,0.00018623231407586396
transverse,ideal_pair_plus_isolated,100.65842420897407,3.1622776601683795,0.20233047217804417,0.0011828205445916246,0.3349463498041355,2,5.163271651274281e-05,0.00019873377546223098
transverse,ideal_pair_plus_isolated,178.998803217782,5.623413251903491,0.2025836245736949,0.0007124299996585842,0.20149241574290827,2,4.972061297825993e-05,0.0002036459491723039
transverse,ideal_pair_plus_isolated,318.30988618379064,10.0,0.2026719286702521,0.00041100265433766667,0.11619115353432057,2,5.0656729623322396e-05,0.00020536438688123729
transverse,ideal_cluster,3.1830988618379066,0.1,0.19870052441399083,0.0003944659829653224,0.11374507621772074,1,0.0,0.00010467286629293051
transverse,ideal_cluster,5.660439166124679,0.1778279410038923,0.19878200016181252,0.0006871908021171393,0.19807113220759412,1,0.0,0.00010775391831331155
transverse,ideal_cluster,10.065842420897406,0.31622776601683794,0.19901910902247355,0.0011481243413238025,0.3305308203529666,1,0.0,0.00011623674640132192
transverse,ideal_cluster,17.899880321778202,0.5623413251903491,0.19961033805072786,0.0017141281628956046,0.4920080602492216,1,0.0,0.00013498130243305524
transverse,ideal_cluster,31.830988618379063,1.0,0.20065145443543592,0.002023197994361464,0.5777021562859298,1,0.0,0.0001625486775391666
