network,edge,single_fraction,orthogonal_fraction,direction_factor
16,4,0.0009077166321547185,0.010087835088692794,0.05129351112093673
16,5,0.0005599892620836957,0.006951784592696187,0.045919114208569395
16,6,0.12323837668931964,0.09178397995246448,0.7654012945987188
16,7,0.14640194504252332,0.08437075948117191,0.9891564726409956
16,8,0.0003046961823209763,0.027681127844083525,0.006274705406016991
16,9,0.009093504398315506,0.015846238521328174,0.3271261041439526
16,10,0.14093338932628408,0.282094422196221,0.2847931285667732
16,11,0.006510565490386876,0.01958716049701405,0.18947736608535498
16,12,0.1446647705507009,0.09305328035491356,0.8862193002409137
16,13,0.3113770110513545,0.2503766253347153,0.7089292133231051
16,14,0.08599038607109968,0.09177549693640495,0.5341131408733195
17,0,0.0044006040060000145,0.0035768175801393315,0.9618047508871933
17,1,0.0003332427908704356,0.003982242620910777,0.06541908514227458
17,2,0.004318041355011007,0.007457461288849242,0.4526548826604796
17,3,0.027784188366265627,0.027301157683990617,0.7955877196873676
17,4,0.021892465378725804,0.027620233920295997,0.6196389920701444
17,5,0.0035222651700091735,0.002892718431728182,0.951891185028713
17,6,0.0002934913473774231,0.04358518487100722,0.005264144828930985
17,7,0.0022977911183010694,0.029261842873966038,0.061387548756026575
17,8,0.07308299093689377,0.0590282689516769,0.9678937486072834
17,9,0.45457339495269616,0.41548250744281734,0.8553083062305645
17,10,0.09618686032655831,0.07682700776419692,0.978753323697646
17,11,0.002437077685685851,0.049412286509658836,0.03855723140391389
17,12,0.2706812901514533,0.21631616779363155,0.9782293230842796
17,13,0.0381962964141521,0.03725610226713106,0.8014847391701339
18,0,0.005695054281028049,0.0023843694462388912,0.9905092566680098
18,1,0.004022334065782996,0.0029401216153906134,0.5673447767771161
18,2,0.044662748529071046,0.029739094742803847,0.6228047557516733
18,3,0.012169484748531505,0.006028008929105927,0.8372063671474266
18,4,0.018789997050757408,0.015439380812692078,0.5046973814883582
18,5,0.021733178990524103,0.08918643626371385,0.10105519977532683
18,6,0.2739800171468595,0.1293704608311239,0.8782496434482984
18,7,0.20637234164566143,0.08987058837312141,0.9522875923623166
18,8,0.295978961891647,0.12943796651560507,0.9482729885253491
18,9,0.0013096193496198497,0.020704760925353883,0.026230651762738384
18,10,0.0015488712687105814,0.189998575762703,0.0033806421118503164
18,11,0.006530836233624135,0.011853133220988141,0.22849139374785563
18,12,0.10720655479818225,0.28304710256115934,0.157071302442122
19,0,0.03189051237927991,0.015139329130243925,0.8972949151838187
19,1,0.0070013996249959996,0.004473517506968798,0.6666779111643745
19,2,0.010061061862292626,0.17932975822059222,0.02389856348148946
19,3,0.05232778068479241,0.024871147465649356,0.8962245448345193
19,4,0.030441057066579524,0.07691796708109719,0.16858241545689218
19,5,0.047850437373003256,0.06358693461622321,0.3205519055820689
19,6,0.01372704000938027,0.08807896462182377,0.06638730503730932
19,7,0.14028317054905798,0.125937929052601,0.47449251482199906
19,8,0.3699585550137483,0.19210411525803733,0.8203453985606156
19,9,0.008495516736190901,0.028297408780098326,0.1278861377355257
19,10,0.03313294872596677,0.04185953369617302,0.33716776152631633
19,11,0.00044785580617805545,0.0041930212693781785,0.04549791383429295
19,12,0.08601344831173692,0.03686914059684286,0.9937649722235158
19,13,0.03395017986378235,0.05914496691264217,0.24451450462775623
19,14,0.13441903599301472,0.05919626579162856,0.9672679665825257
20,0,0.0031172846798941363,0.0011254981645016176,0.8658946893433773
20,1,0.012348154317195313,0.004120510341718403,0.9368810221417819
20,2,0.03824535620015007,0.012561899498115424,0.951824320728132
20,3,0.0016558281258513131,0.005169455963819962,0.10013913071479114
20,4,7.945194073933452e-05,0.004753907536776919,0.005225010667986354
20,5,0.11404284092849527,0.03999497412341193,0.8914479884511168
